Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-05-18 01-PM,ETHUSD,235.2,238,232.9,236.67,2720.55,642219.92
2019-05-18 12-PM,ETHUSD,234,237.59,232.68,235.2,1673.95,393768.8
2019-05-18 11-AM,ETHUSD,235.26,238.93,234,234,1695.78,401081.46
2019-05-18 10-AM,ETHUSD,235.86,237.45,233.85,235.26,694.92,163722.36
2019-05-18 09-AM,ETHUSD,236.81,236.81,231.2,235.86,1614.26,377457.17
2019-05-18 08-AM,ETHUSD,236.83,238.83,235.48,236.81,1590.39,377857.35
2019-05-18 07-AM,ETHUSD,240.24,241.19,235,236.83,1413.98,335559.71
2019-05-18 06-AM,ETHUSD,243.4,243.66,239.59,240.24,2367.75,572873.02
2019-05-18 05-AM,ETHUSD,242.83,245.88,241.97,243.4,1675.79,408896.05
2019-05-18 04-AM,ETHUSD,244.73,245.61,240.43,242.83,1833.92,445005.22
2019-05-18 03-AM,ETHUSD,239.94,244.99,239.94,244.73,1928.03,469679.88
2019-05-18 02-AM,ETHUSD,239.12,242.12,238.63,239.94,1615.29,388154.28
2019-05-18 01-AM,ETHUSD,240.3,243.14,237.65,239.12,2563.54,616636.64
2019-05-18 12-AM,ETHUSD,244.09,248.33,237.83,240.3,6897.5,1684856.67
2019-05-17 11-PM,ETHUSD,237.22,245.48,236.74,244.09,4775.61,1157544.02
2019-05-17 10-PM,ETHUSD,239.53,241,236.45,237.22,3519.32,839180.88
2019-05-17 09-PM,ETHUSD,233.13,239.98,233.13,239.53,2460.18,582587.27
2019-05-17 08-PM,ETHUSD,232.7,233.73,230.36,233.13,3219.18,747179.92
2019-05-17 07-PM,ETHUSD,231.14,233.51,228,232.7,4008.99,924230.04
2019-05-17 06-PM,ETHUSD,229.07,232.74,226.47,231.14,4671.73,1071189.49
2019-05-17 05-PM,ETHUSD,230.22,232.19,226.35,229.07,4688.95,1072844.76
2019-05-17 04-PM,ETHUSD,229.34,236.74,224.01,230.22,7398.52,1709343.74
2019-05-17 03-PM,ETHUSD,234.51,236.33,228.02,229.34,4502.63,1046000.48
2019-05-17 02-PM,ETHUSD,239.77,241.15,234.02,234.51,6768.8,1616392.66
2019-05-17 01-PM,ETHUSD,234.61,239.78,232.57,239.77,4251.56,1004309.3
2019-05-17 12-PM,ETHUSD,228.77,235.37,223.11,234.61,12007.55,2742255.89
2019-05-17 11-AM,ETHUSD,234.49,234.49,223.81,228.77,12533.84,2863159.53
2019-05-17 10-AM,ETHUSD,239.08,239.08,231,234.49,7363.61,1730868.46
2019-05-17 09-AM,ETHUSD,238.42,240.21,236.3,239.08,2768.82,660501.92
2019-05-17 08-AM,ETHUSD,239.68,240.94,236.18,238.42,5603.02,1337898.62
2019-05-17 07-AM,ETHUSD,235.81,242,235.64,239.68,10656.64,2550894.32
2019-05-17 06-AM,ETHUSD,236.29,241.1,230.41,235.81,12749.6,3026387.0
2019-05-17 05-AM,ETHUSD,240.7,243.73,235.88,236.29,11878.63,2860140.37
2019-05-17 04-AM,ETHUSD,238.23,246.36,235.43,240.7,13776.28,3347389.2
2019-05-17 03-AM,ETHUSD,243.96,243.96,214,238.23,38008.41,9014794.21
2019-05-17 02-AM,ETHUSD,254.98,257.63,243,243.96,7654.84,1909047.77
2019-05-17 01-AM,ETHUSD,262.38,262.78,251.86,254.98,9325.59,2399920.38
2019-05-17 12-AM,ETHUSD,264.51,269.55,261.09,262.38,6492.99,1724787.68
2019-05-16 11-PM,ETHUSD,259.16,265.94,258.66,264.51,6534.04,1718136.21
2019-05-16 10-PM,ETHUSD,267.79,272.53,257.16,259.16,9868.46,2616351.6
2019-05-16 09-PM,ETHUSD,254.26,270.84,253.07,267.79,6881.23,1814182.2
2019-05-16 08-PM,ETHUSD,260.09,262.81,254.26,254.26,11042.9,2857119.98
2019-05-16 07-PM,ETHUSD,263.12,263.67,254.96,260.09,8609.12,2224919.39
2019-05-16 06-PM,ETHUSD,263.03,268.96,257.8,263.12,10690.61,2826580.59
2019-05-16 05-PM,ETHUSD,265.84,267.55,256.91,263.03,9453.48,2475491.01
2019-05-16 04-PM,ETHUSD,278.65,279.51,261.56,265.84,21430.01,5774425.99
2019-05-16 03-PM,ETHUSD,261.49,281,261.49,278.65,15321.88,4143923.89
2019-05-16 02-PM,ETHUSD,251.52,263,251.42,261.49,15948.35,4115388.72
2019-05-16 01-PM,ETHUSD,245.63,251.96,245,251.52,12705.98,3162498.08
2019-05-16 12-PM,ETHUSD,250.51,252.87,242.14,245.63,9781.2,2430870.0
2019-05-16 11-AM,ETHUSD,247.46,253.67,245.53,250.51,6436.01,1613991.31
2019-05-16 10-AM,ETHUSD,256.42,258.63,242,247.46,11640.62,2897603.47
2019-05-16 09-AM,ETHUSD,259.59,263,254.6,256.42,12330.88,3218435.54
2019-05-16 08-AM,ETHUSD,261.67,264.38,259.08,259.59,10931.85,2864020.18
2019-05-16 07-AM,ETHUSD,267.83,268.35,260.84,261.67,10197.23,2700340.7
2019-05-16 06-AM,ETHUSD,259.15,269.35,257.08,267.83,7728.02,2044262.33
2019-05-16 05-AM,ETHUSD,260.22,262.7,256.82,259.15,15817.35,4105778.92
2019-05-16 04-AM,ETHUSD,270.01,270.01,250,260.22,25132.26,6549509.06
2019-05-16 03-AM,ETHUSD,272.99,273.5,267.9,270.01,5242.32,1417028.62
2019-05-16 02-AM,ETHUSD,266.5,274.15,263.95,272.99,7670.39,2064192.97
2019-05-16 01-AM,ETHUSD,264.64,269.52,262.28,266.5,6474.3,1717777.19
2019-05-16 12-AM,ETHUSD,248.79,270.09,247.81,264.64,13713.2,3562190.74
2019-05-15 11-PM,ETHUSD,247.04,250.8,246.26,248.79,6885.3,1713802.17
2019-05-15 10-PM,ETHUSD,241.57,247.14,240.65,247.04,5252.86,1276518.75
2019-05-15 09-PM,ETHUSD,239.69,242.9,236.46,241.57,1910.96,456128.23
2019-05-15 08-PM,ETHUSD,242.71,244.11,237.29,239.69,5255.28,1265267.61
2019-05-15 07-PM,ETHUSD,241.59,243,238.68,242.71,4449.46,1073051.56
2019-05-15 06-PM,ETHUSD,243.1,244.03,239.21,241.59,6363.11,1541595.99
2019-05-15 05-PM,ETHUSD,240.67,245.98,239.27,243.1,9215.54,2233054.9
2019-05-15 04-PM,ETHUSD,239.35,243.97,236.91,240.67,14749.36,3540038.17
2019-05-15 03-PM,ETHUSD,231.4,239.5,231.25,239.35,6258.48,1471132.17
2019-05-15 02-PM,ETHUSD,232.2,233.57,230.41,231.4,4089.58,948398.08
2019-05-15 01-PM,ETHUSD,231.43,234.37,227.68,232.2,8960.35,2068934.92
2019-05-15 12-PM,ETHUSD,232.21,233.27,228.29,231.43,6594.81,1520771.59
2019-05-15 11-AM,ETHUSD,233.38,235.08,231.12,232.21,11968.49,2787470.97
2019-05-15 10-AM,ETHUSD,234,237.4,232.93,233.38,8759.12,2058991.65
2019-05-15 09-AM,ETHUSD,228.18,235,227.57,234,6570.33,1520784.6
2019-05-15 08-AM,ETHUSD,227.79,231.39,225.73,228.18,7044.39,1614975.31
2019-05-15 07-AM,ETHUSD,231.57,232.75,225.43,227.79,10832.24,2483926.71
2019-05-15 06-AM,ETHUSD,229.86,235.28,229.55,231.57,9793.19,2275649.89
2019-05-15 05-AM,ETHUSD,226.63,229.96,225,229.86,4529.76,1034882.13
2019-05-15 04-AM,ETHUSD,229.89,230.12,225.57,226.63,3172.06,721483.61
2019-05-15 03-AM,ETHUSD,223.27,230.92,223.27,229.89,10210.15,2324041.28
2019-05-15 02-AM,ETHUSD,221.56,224.64,219.28,223.27,4910.16,1085816.7
2019-05-15 01-AM,ETHUSD,220.78,223.96,220.5,221.56,2258.73,500905.25
2019-05-15 12-AM,ETHUSD,217.5,223.01,217.29,220.78,8993.62,1982156.49
2019-05-14 11-PM,ETHUSD,216.7,220.99,215.49,217.5,9985.76,2178846.27
2019-05-14 10-PM,ETHUSD,208.37,216.7,208.37,216.7,7570.56,1605899.79
2019-05-14 09-PM,ETHUSD,204.7,209.45,202.63,208.37,2237.48,464037.04
2019-05-14 08-PM,ETHUSD,204.65,206.55,202.72,204.7,2850.86,585397.14
