Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-05-18 01-PM,LTCUSD,87.2,88.15,86.09,87.87,266.55,23181.51
2019-05-18 12-PM,LTCUSD,87.39,87.67,87.2,87.2,177.34,15514.74
2019-05-18 11-AM,LTCUSD,86.79,87.84,86.79,87.39,250.71,21838.67
2019-05-18 10-AM,LTCUSD,86.29,87.79,86.2,86.79,1292.3,112468.33
2019-05-18 09-AM,LTCUSD,87.05,87.05,85.37,86.29,966.09,82791.73
2019-05-18 08-AM,LTCUSD,86.6,87.71,86.6,87.05,874.76,76058.38
2019-05-18 07-AM,LTCUSD,88.38,88.55,86.19,86.6,1354.88,118427.19
2019-05-18 06-AM,LTCUSD,89.14,89.14,88.19,88.38,1290.71,114586.33
2019-05-18 05-AM,LTCUSD,88.93,89.59,88.45,89.14,1405.92,125420.1
2019-05-18 04-AM,LTCUSD,88.87,89.34,87.53,88.93,1086.79,96259.08
2019-05-18 03-AM,LTCUSD,87.46,88.87,87.46,88.87,1678.76,148641.87
2019-05-18 02-AM,LTCUSD,88.28,88.66,86.74,87.46,367.74,32249.26
2019-05-18 01-AM,LTCUSD,88.49,89.14,87.88,88.28,435.26,38465.7
2019-05-18 12-AM,LTCUSD,89.85,90.4,88.08,88.49,1591.32,142476.41
2019-05-17 11-PM,LTCUSD,87.51,89.98,87.48,89.85,1699.93,151631.8
2019-05-17 10-PM,LTCUSD,88.56,89.5,87.5,87.51,2102.96,186840.77
2019-05-17 09-PM,LTCUSD,86.84,88.75,86.55,88.56,3831.13,335191.03
2019-05-17 08-PM,LTCUSD,86.69,87.29,86.29,86.84,1527.78,132446.02
2019-05-17 07-PM,LTCUSD,86,86.75,85.47,86.69,994.2,85829.78
2019-05-17 06-PM,LTCUSD,84.74,86.28,84.42,86,2030.41,172523.18
2019-05-17 05-PM,LTCUSD,85.62,86.28,84.18,84.74,2597.72,220837.71
2019-05-17 04-PM,LTCUSD,85.85,87.7,84.28,85.62,3888.92,334891.59
2019-05-17 03-PM,LTCUSD,86.63,87.23,85.48,85.85,2258.31,195302.7
2019-05-17 02-PM,LTCUSD,87.68,88.85,86.63,86.63,2009.46,176492.64
2019-05-17 01-PM,LTCUSD,87.18,88.25,86.58,87.68,1137.36,99519.57
2019-05-17 12-PM,LTCUSD,86.95,87.6,84.12,87.18,9172.84,790820.71
2019-05-17 11-AM,LTCUSD,87.55,87.55,84.84,86.95,2918.93,250438.54
2019-05-17 10-AM,LTCUSD,88.42,88.65,86.15,87.55,3125.3,272417.48
2019-05-17 09-AM,LTCUSD,88.52,88.93,87.18,88.42,2394.82,211887.7
2019-05-17 08-AM,LTCUSD,87.77,88.91,86.7,88.52,1728.79,151873.28
2019-05-17 07-AM,LTCUSD,85.44,87.94,85.34,87.77,4645.22,404680.4
2019-05-17 06-AM,LTCUSD,86.88,88.14,84.37,85.44,8649.13,749581.39
2019-05-17 05-AM,LTCUSD,88.32,89.23,86.6,86.88,16681.58,1470773.73
2019-05-17 04-AM,LTCUSD,89.37,91.08,87.9,88.32,4876.1,436901.64
2019-05-17 03-AM,LTCUSD,89.17,91.21,81.66,89.37,29701.08,2578689.99
2019-05-17 02-AM,LTCUSD,93.66,94.18,88.91,89.17,11129.24,1009222.5
2019-05-17 01-AM,LTCUSD,95.89,95.89,92.63,93.66,4458.55,419175.91
2019-05-17 12-AM,LTCUSD,95.68,97.49,95.48,95.89,2687.58,259318.99
2019-05-16 11-PM,LTCUSD,94.61,95.91,94.61,95.68,2734.28,260004.32
2019-05-16 10-PM,LTCUSD,96.53,97,94.61,94.61,1673.22,159947.54
